"v1trans","v2trans","vUptake","strategy","relax","R0","HALYprice","p"
50,50,60,"Loose Suppression",0,2.5,0,0.922498309053481
75,50,60,"Loose Suppression",0,2.5,0,0.00851576984860003
90,50,60,"Loose Suppression",0,2.5,0,0.382264805724844
50,75,60,"Loose Suppression",0,2.5,0,0.527631804579869
75,75,60,"Loose Suppression",0,2.5,0,0.283136734971777
90,75,60,"Loose Suppression",0,2.5,0,0.881469453219324
50,90,60,"Loose Suppression",0,2.5,0,0.313830173807219
75,90,60,"Loose Suppression",0,2.5,0,0.538510930491611
90,90,60,"Loose Suppression",0,2.5,0,0.720965931424871
50,50,75,"Loose Suppression",0,2.5,0,0.522018980002031
75,50,75,"Loose Suppression",0,2.5,0,0.107882491312921
90,50,75,"Loose Suppression",0,2.5,0,0.0924742207862437
50,75,75,"Loose Suppression",0,2.5,0,0.48014926770702
75,75,75,"Loose Suppression",0,2.5,0,0.69248205027543
90,75,75,"Loose Suppression",0,2.5,0,0.869077029870823
50,90,75,"Loose Suppression",0,2.5,0,0.297660322859883
75,90,75,"Loose Suppression",0,2.5,0,0.507369575789198
90,90,75,"Loose Suppression",0,2.5,0,0.332215153845027
50,50,90,"Loose Suppression",0,2.5,0,0.429741840809584
75,50,90,"Loose Suppression",0,2.5,0,0.545267362613231
90,50,90,"Loose Suppression",0,2.5,0,0.121537929866463
50,75,90,"Loose Suppression",0,2.5,0,0.399987121112645
75,75,90,"Loose Suppression",0,2.5,0,0.636530261719599
90,75,90,"Loose Suppression",0,2.5,0,0.34095779270865
50,90,90,"Loose Suppression",0,2.5,0,0.919396960642189
75,90,90,"Loose Suppression",0,2.5,0,0.374204825144261
90,90,90,"Loose Suppression",0,2.5,0,0.423230416374281
50,50,60,"Tight Suppression",0,2.5,0,0.916268008993939
75,50,60,"Tight Suppression",0,2.5,0,0.102213295642287
90,50,60,"Tight Suppression",0,2.5,0,0.592724446440116
50,75,60,"Tight Suppression",0,2.5,0,0.598529814509675
75,75,60,"Tight Suppression",0,2.5,0,0.748470520367846
90,75,60,"Tight Suppression",0,2.5,0,0.54158196109347
50,90,60,"Tight Suppression",0,2.5,0,0.808467293158174
75,90,60,"Tight Suppression",0,2.5,0,0.630855615483597
90,90,60,"Tight Suppression",0,2.5,0,0.886571060167626
50,50,75,"Tight Suppression",0,2.5,0,0.359131404198706
75,50,75,"Tight Suppression",0,2.5,0,0.840766249690205
90,50,75,"Tight Suppression",0,2.5,0,0.362379700876772
