vu,R0,str,vk,va,tp,ms,wk,q50,q95,q5,bo
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,0,0.0,0.0,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,1,0.0,1.15,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,2,0.0,3.58,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,3,0.0,7.59,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,4,0.14,9.64,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,5,0.29,14.41,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,6,0.57,14.56,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,7,0.64,13.94,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,8,0.71,17.59,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,9,0.93,18.04,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,10,1.07,18.47,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,11,1.0,16.24,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,12,1.0,16.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,13,1.14,15.02,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,14,1.29,16.31,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,15,1.29,11.74,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,16,1.43,12.92,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,17,1.57,9.86,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,18,1.43,10.8,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,19,1.21,9.94,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,20,1.29,9.02,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,21,1.29,8.21,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,22,1.14,9.04,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,23,1.29,8.46,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,24,1.29,8.68,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,25,1.21,8.59,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,26,1.21,9.96,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,27,1.29,8.16,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,28,1.43,7.86,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,29,1.43,7.33,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,30,1.5,8.59,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,31,2.07,8.59,0.14,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,32,3.0,14.34,0.14,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,33,3.86,27.99,0.43,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,34,5.36,54.79,0.71,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,35,7.5,81.88,1.14,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,36,12.5,148.37,1.71,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,37,16.93,185.53,2.54,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,38,21.64,171.0,2.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,39,30.0,164.89,3.7,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,40,35.14,185.72,4.36,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,41,34.07,163.16,4.26,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,42,43.71,193.05,4.94,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,43,34.71,150.81,4.71,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,44,37.93,174.99,4.34,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,45,30.86,173.57,3.99,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,46,30.86,131.91,3.97,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,47,21.86,127.41,3.85,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,48,19.71,118.29,4.71,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,49,18.0,108.0,3.86,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,50,20.36,86.27,5.53,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,51,21.86,99.26,4.67,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,52,20.57,105.3,4.26,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,53,18.0,104.34,3.86,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,54,16.71,85.05,4.42,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,55,15.21,150.43,3.7,1
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,56,12.86,126.06,2.28,1
