vu,R0,str,vk,va,wk,q50,q95,q5,bo
50% Vaccinated,4.5,ME_ME_LS,0,0.02,0,0.0,0.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,1,0.33,1.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,2,0.43,2.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,3,0.86,2.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,4,1.37,3.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,5,1.01,2.15,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,6,0.85,3.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,7,1.13,6.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,8,1.52,7.25,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,9,2.1,13.3,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,10,1.46,7.15,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,11,1.4,4.2,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,12,1.27,2.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,13,0.92,4.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,14,1.15,3.35,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,15,1.66,9.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,16,1.28,5.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,17,1.12,4.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,18,1.28,5.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,19,1.02,4.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,20,1.13,8.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,21,1.59,11.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,22,1.15,5.15,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,23,1.15,5.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,24,1.05,3.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,25,1.07,4.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,26,1.41,6.15,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,27,1.75,6.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,28,1.78,11.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,29,1.72,11.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,30,1.88,8.3,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,31,1.34,4.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,32,1.06,6.15,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,33,1.8,10.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,34,1.36,7.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,35,0.78,2.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,36,0.83,2.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,37,0.65,2.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,38,0.46,2.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,39,0.91,4.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,40,1.13,7.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,41,0.8,3.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,42,1.03,4.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,43,1.51,5.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,44,1.11,5.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,45,1.09,6.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,46,1.13,4.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,47,1.26,4.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,48,1.24,3.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,49,1.59,9.0,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,50,1.25,7.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,51,0.99,4.05,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,52,0.83,3.1,0.0,0
50% Vaccinated,4.5,ME_ME_LS,0,0.02,53,0.84,3.05,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,54,1.15,7.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,55,1.4,9.05,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,56,1.98,10.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,57,2.81,17.15,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,58,3.69,20.1,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,59,3.78,22.05,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,60,3.42,19.1,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,61,3.52,26.05,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,62,2.47,16.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,63,2.9,16.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,64,2.13,14.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,65,2.34,13.15,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,66,2.79,18.05,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,67,2.56,16.05,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,68,2.68,16.05,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,69,3.33,25.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,70,3.2,25.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,71,2.62,19.1,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,72,2.06,14.15,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,73,1.73,13.1,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,74,0.91,4.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,75,1.18,6.05,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,76,0.93,5.2,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,77,0.85,4.1,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,78,0.85,6.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,79,0.89,4.0,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,80,0.79,2.1,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,81,0.73,4.05,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,82,0.98,4.15,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,83,1.56,6.05,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,84,1.68,4.05,0.0,1
50% Vaccinated,4.5,ME_ME_LS,0,0.02,85,2.19,7.0,0.0,1
