"strategy","v1trans","v2trans","vUptake","relax","R0","effect","HALY","timeHorizon","morbt","sortVar"
"Aggressive Elimination",50,50,60,0,2.5,"Anxiety",-121.69,"Y1","Morbidity",1
"Aggressive Elimination",50,50,60,0,3.125,"Anxiety",-191.17,"Y1","Morbidity",1
"Aggressive Elimination",50,50,60,0,3.75,"Anxiety",-282.84,"Y1","Morbidity",1
"Aggressive Elimination",50,50,60,1,2.5,"Anxiety",-31.18,"Y1","Morbidity",1
"Aggressive Elimination",50,50,60,1,3.125,"Anxiety",-73.95,"Y1","Morbidity",1
"Aggressive Elimination",50,50,60,1,3.75,"Anxiety",-182.42,"Y1","Morbidity",1
"Aggressive Elimination",50,75,60,0,2.5,"Anxiety",-112.41,"Y1","Morbidity",1
"Aggressive Elimination",50,75,60,0,3.125,"Anxiety",-179.32,"Y1","Morbidity",1
"Aggressive Elimination",50,75,60,0,3.75,"Anxiety",-275.73,"Y1","Morbidity",1
"Aggressive Elimination",50,75,60,1,2.5,"Anxiety",-30.38,"Y1","Morbidity",1
"Aggressive Elimination",50,75,60,1,3.125,"Anxiety",-66.03,"Y1","Morbidity",1
"Aggressive Elimination",50,75,60,1,3.75,"Anxiety",-156.82,"Y1","Morbidity",1
"Aggressive Elimination",50,90,60,0,2.5,"Anxiety",-100.44,"Y1","Morbidity",1
"Aggressive Elimination",50,90,60,0,3.125,"Anxiety",-170,"Y1","Morbidity",1
"Aggressive Elimination",50,90,60,0,3.75,"Anxiety",-268.42,"Y1","Morbidity",1
"Aggressive Elimination",50,90,60,1,2.5,"Anxiety",-29.74,"Y1","Morbidity",1
"Aggressive Elimination",50,90,60,1,3.125,"Anxiety",-63.08,"Y1","Morbidity",1
"Aggressive Elimination",50,90,60,1,3.75,"Anxiety",-146.39,"Y1","Morbidity",1
"Aggressive Elimination",75,50,60,0,2.5,"Anxiety",-116.92,"Y1","Morbidity",1
"Aggressive Elimination",75,50,60,0,3.125,"Anxiety",-170.56,"Y1","Morbidity",1
"Aggressive Elimination",75,50,60,0,3.75,"Anxiety",-269.02,"Y1","Morbidity",1
"Aggressive Elimination",75,50,60,1,2.5,"Anxiety",-29.83,"Y1","Morbidity",1
"Aggressive Elimination",75,50,60,1,3.125,"Anxiety",-57.51,"Y1","Morbidity",1
"Aggressive Elimination",75,50,60,1,3.75,"Anxiety",-159.09,"Y1","Morbidity",1
"Aggressive Elimination",75,75,60,0,2.5,"Anxiety",-106.82,"Y1","Morbidity",1
"Aggressive Elimination",75,75,60,0,3.125,"Anxiety",-155.22,"Y1","Morbidity",1
"Aggressive Elimination",75,75,60,0,3.75,"Anxiety",-254.35,"Y1","Morbidity",1
"Aggressive Elimination",75,75,60,1,2.5,"Anxiety",-29.64,"Y1","Morbidity",1
"Aggressive Elimination",75,75,60,1,3.125,"Anxiety",-55.19,"Y1","Morbidity",1
"Aggressive Elimination",75,75,60,1,3.75,"Anxiety",-137.75,"Y1","Morbidity",1
"Aggressive Elimination",75,90,60,0,2.5,"Anxiety",-94.21,"Y1","Morbidity",1
"Aggressive Elimination",75,90,60,0,3.125,"Anxiety",-144.65,"Y1","Morbidity",1
"Aggressive Elimination",75,90,60,0,3.75,"Anxiety",-245.18,"Y1","Morbidity",1
"Aggressive Elimination",75,90,60,1,2.5,"Anxiety",-29.71,"Y1","Morbidity",1
"Aggressive Elimination",75,90,60,1,3.125,"Anxiety",-54.3,"Y1","Morbidity",1
"Aggressive Elimination",75,90,60,1,3.75,"Anxiety",-127.02,"Y1","Morbidity",1
"Aggressive Elimination",90,50,60,0,2.5,"Anxiety",-106.43,"Y1","Morbidity",1
"Aggressive Elimination",90,50,60,0,3.125,"Anxiety",-159.56,"Y1","Morbidity",1
"Aggressive Elimination",90,50,60,0,3.75,"Anxiety",-253.85,"Y1","Morbidity",1
"Aggressive Elimination",90,50,60,1,2.5,"Anxiety",-28.63,"Y1","Morbidity",1
