"v1trans","v2trans","vUptake","strategy","relax","R0","timeHorizon","effect","HALY"
50,50,60,"Loose Suppression",0,2.5,"Y1","COVID-19",-283.863097149879
75,50,60,"Loose Suppression",0,2.5,"Y1","COVID-19",-346.385606983677
90,50,60,"Loose Suppression",0,2.5,"Y1","COVID-19",-343.432992417365
50,75,60,"Loose Suppression",0,2.5,"Y1","COVID-19",-509.349007112905
75,75,60,"Loose Suppression",0,2.5,"Y1","COVID-19",-67.7562972530723
90,75,60,"Loose Suppression",0,2.5,"Y1","COVID-19",-42.2043704427779
50,90,60,"Loose Suppression",0,2.5,"Y1","COVID-19",169.828894361854
75,90,60,"Loose Suppression",0,2.5,"Y1","COVID-19",-207.271154457703
90,90,60,"Loose Suppression",0,2.5,"Y1","COVID-19",-158.362077036873
50,50,75,"Loose Suppression",0,2.5,"Y1","COVID-19",-242.522612866014
75,50,75,"Loose Suppression",0,2.5,"Y1","COVID-19",-557.299152901396
90,50,75,"Loose Suppression",0,2.5,"Y1","COVID-19",-215.725379018113
50,75,75,"Loose Suppression",0,2.5,"Y1","COVID-19",-522.475864458829
75,75,75,"Loose Suppression",0,2.5,"Y1","COVID-19",-644.893386587501
90,75,75,"Loose Suppression",0,2.5,"Y1","COVID-19",-608.227490168065
50,90,75,"Loose Suppression",0,2.5,"Y1","COVID-19",-333.567457227036
75,90,75,"Loose Suppression",0,2.5,"Y1","COVID-19",-404.268728755415
90,90,75,"Loose Suppression",0,2.5,"Y1","COVID-19",-136.454297648743
50,50,90,"Loose Suppression",0,2.5,"Y1","COVID-19",-378.541213413701
75,50,90,"Loose Suppression",0,2.5,"Y1","COVID-19",-72.1402538008988
90,50,90,"Loose Suppression",0,2.5,"Y1","COVID-19",-215.168596198782
50,75,90,"Loose Suppression",0,2.5,"Y1","COVID-19",165.802108403295
75,75,90,"Loose Suppression",0,2.5,"Y1","COVID-19",-467.625123867765
90,75,90,"Loose Suppression",0,2.5,"Y1","COVID-19",-107.207534555346
50,90,90,"Loose Suppression",0,2.5,"Y1","COVID-19",-324.993734667078
75,90,90,"Loose Suppression",0,2.5,"Y1","COVID-19",-318.146737245843
90,90,90,"Loose Suppression",0,2.5,"Y1","COVID-19",-582.038939185441
50,50,60,"Tight Suppression",0,2.5,"Y1","COVID-19",-263.803787482902
75,50,60,"Tight Suppression",0,2.5,"Y1","COVID-19",-167.97854793258
90,50,60,"Tight Suppression",0,2.5,"Y1","COVID-19",-345.708174584433
50,75,60,"Tight Suppression",0,2.5,"Y1","COVID-19",-210.48574144952
75,75,60,"Tight Suppression",0,2.5,"Y1","COVID-19",-311.970824329183
90,75,60,"Tight Suppression",0,2.5,"Y1","COVID-19",-131.632597604767
50,90,60,"Tight Suppression",0,2.5,"Y1","COVID-19",-415.05863792263
75,90,60,"Tight Suppression",0,2.5,"Y1","COVID-19",-343.030092027038
90,90,60,"Tight Suppression",0,2.5,"Y1","COVID-19",-381.004655221477
50,50,75,"Tight Suppression",0,2.5,"Y1","COVID-19",-704.181458987296
75,50,75,"Tight Suppression",0,2.5,"Y1","COVID-19",122.590999864042
90,50,75,"Tight Suppression",0,2.5,"Y1","COVID-19",-146.148266922683
50,75,75,"Tight Suppression",0,2.5,"Y1","COVID-19",-145.189960673451
75,75,75,"Tight Suppression",0,2.5,"Y1","COVID-19",-729.297095863149
