vu,R0,str,vk,va,tp,ms,wk,q50,q95,q5,bo
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,0,0.0,0.0,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,1,0.0,0.57,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,2,0.0,1.3,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,3,0.14,4.61,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,4,0.14,5.51,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,5,0.57,7.13,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,6,0.43,8.66,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,7,0.86,12.5,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,8,0.86,7.73,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,9,0.71,5.64,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,10,0.86,7.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,11,0.86,5.93,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,12,1.0,7.71,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,13,1.0,5.19,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,14,0.86,4.89,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,15,0.86,4.58,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,16,1.0,4.31,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,17,0.79,3.86,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,18,0.93,4.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,19,0.86,5.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,20,1.07,3.88,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,21,0.86,4.0,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,22,0.71,3.86,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,23,0.71,4.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,24,0.64,3.29,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,25,0.57,4.44,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,26,0.57,3.57,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,27,0.57,4.3,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,28,0.71,3.66,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,29,0.64,4.49,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,30,0.86,4.31,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,31,0.93,4.64,0.14,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,32,1.36,7.15,0.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,33,1.93,9.04,0.14,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,34,2.93,17.03,0.43,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,35,3.71,23.16,0.57,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,36,5.93,40.01,0.71,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,37,6.71,46.01,0.71,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,38,9.21,94.18,1.14,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,39,12.64,136.74,1.54,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,40,12.64,119.76,2.52,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,41,16.79,114.49,2.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,42,19.29,121.18,1.99,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,43,22.5,162.32,2.09,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,44,22.71,146.57,2.82,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,45,21.21,147.99,2.41,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,46,20.57,119.96,3.26,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,47,19.29,105.3,2.86,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,48,18.86,104.59,2.84,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,49,15.43,91.93,2.56,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,50,15.43,89.1,3.29,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,51,14.14,100.48,3.0,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,52,12.64,108.9,3.85,0
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,53,13.71,85.63,2.14,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,54,11.57,81.13,2.42,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,55,11.57,88.91,2.55,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,56,12.64,67.24,1.69,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,57,13.29,81.58,2.14,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,58,12.43,84.6,2.28,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,59,12.21,74.7,1.99,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,60,12.86,109.8,1.86,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,61,11.57,104.72,2.0,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,62,12.21,82.35,2.56,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,63,11.79,91.61,1.99,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,64,14.14,127.29,1.84,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,65,15.21,133.33,1.55,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,66,13.29,128.25,1.71,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,67,16.29,112.05,1.43,1
70% Vaccinated,5.0,ME_ME_TS,No,0.2,ass100_90at5,1a,68,14.36,105.49,1.99,1
